# timezone: UTC
datetime;open;high;low;close
2026-03-26 15:45:00;4441.01374;4447.95529;4435.36777;4437.44462
2026-03-26 16:00:00;4437.4349;4441.5877;4431.12644;4440.2123
2026-03-26 16:15:00;4440.45054;4440.45054;4393.43202;4396.38038
2026-03-26 16:30:00;4395.15823;4396.37739;4358.34529;4378.85366
2026-03-26 16:45:00;4379.51853;4390.11736;4378.39474;4389.60148
2026-03-26 17:00:00;4389.56172;4401.20329;4388.21231;4397.32488
2026-03-26 17:15:00;4397.60914;4397.60914;4379.84986;4380.5779
2026-03-26 17:30:00;4380.95792;4390.3915;4377.42045;4384.58135
2026-03-26 17:45:00;4384.46596;4390.23864;4379.76784;4382.08969
2026-03-26 18:00:00;4381.99254;4389.81432;4380.82653;4388.21884
2026-03-26 18:15:00;4388.12831;4388.23512;4371.36544;4372.75168
2026-03-26 18:30:00;4372.34228;4393.97943;4372.34228;4392.37541
2026-03-26 18:45:00;4392.3069;4397.18152;4391.93333;4394.00289
2026-03-26 19:00:00;4393.6378;4398.65298;4382.35915;4387.3576
2026-03-26 19:15:00;4386.93445;4392.66061;4376.61087;4380.07894
2026-03-26 19:30:00;4379.73513;4387.22573;4376.10175;4379.43385
2026-03-26 19:45:00;4379.36551;4379.49105;4359.46535;4362.63551
2026-03-26 20:00:00;4362.52539;4412.1119;4352.84304;4402.35981
2026-03-26 20:15:00;4400.53808;4415.18421;4384.52525;4401.32538
2026-03-26 20:30:00;4401.48255;4417.81991;4400.6918;4407.79975
2026-03-26 20:45:00;4407.80382;4407.81064;4372.4971;4377.53433
2026-03-26 21:00:00;4377.24518;4380.20548;4377.24518;4380.04878
2026-03-26 21:15:00;4380.04745;4380.23213;4379.80621;4379.87555
2026-03-26 21:30:00;4379.91281;4380.39646;4379.84693;4379.84693
2026-03-26 21:45:00;4379.76677;4380.32677;4379.76677;4380.0676
2026-03-26 22:00:00;4379.02683;4402.60769;4379.02683;4401.77735
2026-03-26 22:15:00;4401.47284;4407.56567;4395.02628;4397.37272
2026-03-26 22:30:00;4397.25669;4415.4012;4396.49253;4411.70307
2026-03-26 22:45:00;4412.68609;4412.68609;4398.84975;4407.6903
2026-03-26 23:00:00;4407.4672;4412.21296;4392.18611;4393.55613
2026-03-26 23:15:00;4393.53571;4399.76835;4393.26732;4398.61609
2026-03-26 23:30:00;4398.47031;4408.33885;4393.96837;4398.55739
2026-03-26 23:45:00;4398.34366;4405.4271;4397.63316;4405.11254
2026-03-27 00:00:00;4405.50569;4410.83046;4402.31438;4404.8478
2026-03-27 00:15:00;4404.94643;4404.94643;4386.33156;4389.79
2026-03-27 00:30:00;4390.3048;4397.08297;4388.1247;4389.86007
2026-03-27 00:45:00;4389.87586;4389.91438;4378.8413;4379.31558
2026-03-27 01:00:00;4379.90558;4398.75863;4379.29937;4394.86613
2026-03-27 01:15:00;4394.79459;4408.02546;4392.5118;4405.91727
2026-03-27 01:30:00;4405.97977;4420.16175;4405.86862;4419.58656
2026-03-27 01:45:00;4419.59191;4419.68173;4412.99821;4417.83372
2026-03-27 02:00:00;4418.05005;4440.1411;4417.74165;4432.815
2026-03-27 02:15:00;4432.47453;4435.90489;4426.59023;4430.5082
2026-03-27 02:30:00;4431.04289;4432.69756;4424.39472;4430.36008
2026-03-27 02:45:00;4430.3514;4438.88392;4423.90081;4431.61329
2026-03-27 03:00:00;4431.68322;4434.45629;4421.2939;4429.3559
2026-03-27 03:15:00;4429.17069;4439.30176;4429.17069;4434.45873
2026-03-27 03:30:00;4434.89218;4442.23073;4430.50414;4439.05859
2026-03-27 03:45:00;4438.46413;4439.05299;4433.94051;4437.12173
2026-03-27 04:00:00;4436.91234;4438.10117;4433.13967;4434.57202
2026-03-27 04:15:00;4434.49493;4437.61971;4431.8961;4433.87212
2026-03-27 04:30:00;4433.66453;4441.29238;4433.66453;4441.29238
2026-03-27 04:45:00;4441.30412;4449.26601;4441.27032;4449.00342
2026-03-27 05:00:00;4448.73589;4449.011;4441.93562;4445.07533
2026-03-27 05:15:00;4444.99562;4446.6224;4440.16754;4442.18906
2026-03-27 05:30:00;4441.88124;4474.51937;4441.88124;4468.57688
2026-03-27 05:45:00;4469.25522;4469.25522;4455.4033;4455.542
2026-03-27 06:00:00;4455.23756;4472.06805;4454.13299;4468.7785
2026-03-27 06:15:00;4468.79257;4469.49904;4456.82652;4463.1792
2026-03-27 06:30:00;4463.15078;4469.73164;4461.64611;4466.44865
2026-03-27 06:45:00;4466.68179;4466.68179;4456.94303;4459.88284
2026-03-27 07:00:00;4459.96073;4460.90274;4450.8649;4454.29586
2026-03-27 07:15:00;4454.24028;4456.40579;4450.98827;4452.36953
2026-03-27 07:30:00;4452.13586;4454.61675;4445.65882;4448.72609
2026-03-27 07:45:00;4448.62746;4452.41016;4444.76264;4446.78937
2026-03-27 08:00:00;4446.81999;4447.99283;4444.06486;4446.67135
2026-03-27 08:15:00;4446.6308;4446.63818;4431.78248;4433.8053
2026-03-27 08:30:00;4433.63543;4438.92637;4431.29272;4436.72476
2026-03-27 08:45:00;4436.75877;4437.95606;4425.64262;4425.64262
2026-03-27 09:00:00;4425.65219;4432.04895;4421.04496;4429.09362
2026-03-27 09:15:00;4428.91327;4436.2891;4428.91327;4435.41332
2026-03-27 09:30:00;4435.45839;4437.61328;4430.52979;4431.88902
2026-03-27 09:45:00;4431.80278;4432.48361;4428.16452;4428.16452
2026-03-27 10:00:00;4428.24024;4433.05684;4425.11964;4425.55856
2026-03-27 10:15:00;4425.46526;4433.61078;4424.40627;4429.70233
2026-03-27 10:30:00;4429.68067;4429.75552;4414.44959;4414.46741
2026-03-27 10:45:00;4414.23616;4420.7034;4409.75535;4414.8116
2026-03-27 11:00:00;4414.84743;4416.1375;4406.69004;4413.03766
2026-03-27 11:15:00;4412.93366;4416.12076;4409.32423;4415.52645
2026-03-27 11:30:00;4415.56005;4419.88027;4413.98195;4419.88027
2026-03-27 11:45:00;4419.35719;4425.37501;4416.54808;4416.74924
2026-03-27 12:00:00;4415.9681;4426.67785;4415.06055;4425.9123
2026-03-27 12:15:00;4425.84781;4432.20932;4418.69885;4428.56599
2026-03-27 12:30:00;4428.57511;4438.01977;4425.61518;4433.75162
2026-03-27 12:45:00;4433.35452;4445.20396;4433.35452;4438.57923
2026-03-27 13:00:00;4438.24067;4441.14204;4427.21402;4429.84114
2026-03-27 13:15:00;4429.86541;4441.07034;4421.48813;4423.2018
2026-03-27 13:30:00;4422.99696;4431.06966;4413.46109;4428.70006
2026-03-27 13:45:00;4428.8842;4442.5062;4421.91446;4429.82188
2026-03-27 14:00:00;4429.75924;4462.46744;4429.28644;4455.33935
2026-03-27 14:15:00;4455.80587;4470.0032;4454.79941;4454.91098
2026-03-27 14:30:00;4454.89891;4463.20639;4454.24661;4461.76235
2026-03-27 14:45:00;4460.93822;4512.00577;4460.93822;4512.00577
2026-03-27 15:00:00;4512.44683;4534.31524;4505.83742;4529.7247
2026-03-27 15:15:00;4530.26957;4547.85546;4519.43894;4546.23403
2026-03-27 15:30:00;4545.25825;4550.97345;4527.6272;4532.59746
2026-03-27 15:45:00;4532.58788;4535.76388;4519.7748;4524.83184
2026-03-27 16:00:00;4524.86448;4531.41809;4521.27916;4528.80337
2026-03-27 16:15:00;4529.01646;4533.14479;4525.86839;4527.5839
2026-03-27 16:30:00;4527.61089;4528.2473;4505.95337;4511.54352
2026-03-27 16:45:00;4511.37213;4522.15893;4509.4096;4514.43734
2026-03-27 17:00:00;4514.44992;4518.03913;4507.00582;4511.61872
2026-03-27 17:15:00;4511.71931;4511.71931;4487.30643;4492.86571
2026-03-27 17:30:00;4492.54744;4499.40394;4485.99521;4491.45886
2026-03-27 17:45:00;4491.46383;4498.14537;4487.44559;4487.64827
2026-03-27 18:00:00;4487.79829;4497.81492;4487.52468;4497.04614
2026-03-27 18:15:00;4495.86953;4510.26037;4495.86953;4509.60855
2026-03-27 18:30:00;4509.59097;4527.96265;4509.49457;4525.05414
2026-03-27 18:45:00;4525.05155;4525.14962;4513.94465;4517.28068
2026-03-27 19:00:00;4517.2086;4517.37377;4507.56295;4511.91465
2026-03-27 19:15:00;4511.93333;4523.65611;4511.82097;4522.11939
2026-03-27 19:30:00;4522.12211;4525.01845;4501.41416;4508.03884
2026-03-27 19:45:00;4508.10016;4521.83113;4505.39787;4514.84071
2026-03-27 20:00:00;4514.75649;4514.81293;4508.32845;4509.89771
2026-03-27 20:15:00;4509.80695;4509.98812;4503.86105;4505.14677
2026-03-27 20:30:00;4504.79469;4512.44532;4502.02977;4505.32681
2026-03-27 20:45:00;4504.81597;4505.51926;4492.13517;4494.17866
2026-03-27 21:00:00;4493.40848;4510.53608;4493.40848;4507.69573
2026-03-27 21:15:00;4507.70934;4507.90064;4507.61732;4507.78152
2026-03-27 21:30:00;4507.70333;4507.89635;4507.54654;4507.58331
2026-03-27 21:45:00;4507.48445;4507.89484;4507.48445;4507.69821
2026-03-27 22:00:00;4507.70101;4507.89644;4507.6366;4507.67019
2026-03-27 22:15:00;4507.6949;4507.89262;4507.64048;4507.76294
2026-03-27 22:30:00;4507.69883;4507.89695;4507.64433;4507.79434
2026-03-27 22:45:00;4507.69805;4507.89464;4507.63748;4507.70796
2026-03-27 23:00:00;4507.69644;4507.89233;4507.63336;4507.66312
2026-03-27 23:15:00;4507.69517;4507.89041;4507.64281;4507.74784
2026-03-27 23:30:00;4507.6999;4507.89084;4507.63226;4507.79922
2026-03-27 23:45:00;4507.69789;4507.89837;4507.64014;4507.73142
2026-03-28 00:00:00;4507.70202;4507.89895;4507.63739;4507.66467
2026-03-28 00:15:00;4507.69913;4507.89001;4507.64145;4507.73895
2026-03-28 00:30:00;4507.70863;4507.90671;4507.64821;4507.80147
2026-03-28 00:45:00;4507.69979;4507.89709;4507.63862;4507.75483
2026-03-28 01:00:00;4507.70881;4507.90634;4507.65204;4507.67687
2026-03-28 01:15:00;4507.70901;4507.90502;4507.64771;4507.71476
2026-03-28 01:30:00;4507.70277;4507.89986;4507.64764;4507.79697
2026-03-28 01:45:00;4507.69971;4507.90461;4507.64679;4507.7736
2026-03-28 02:00:00;4507.71059;4507.90347;4507.64866;4507.68558
2026-03-28 02:15:00;4507.71066;4507.90633;4507.64975;4507.70087
2026-03-28 02:30:00;4507.7046;4507.90494;4507.65112;4507.79854
2026-03-28 02:45:00;4507.71066;4507.90677;4507.64952;4507.78857
2026-03-28 03:00:00;4507.71066;4507.9046;4507.65031;4507.698
2026-03-28 03:15:00;4507.7127;4507.90758;4507.64632;4507.69398
2026-03-28 03:30:00;4507.71066;4507.90321;4507.64975;4507.786
2026-03-28 03:45:00;4507.71066;4507.90705;4507.64541;4507.79279
2026-03-28 04:00:00;4507.70283;4507.89451;4507.64472;4507.69864
2026-03-28 04:15:00;4507.69921;4507.9011;4507.63823;4507.6735
2026-03-28 04:30:00;4507.70089;4507.90432;4507.6501;4507.76841
2026-03-28 04:45:00;4507.70829;4507.90706;4507.6477;4507.80849
